City,State,MGrid,Zip,Lat/Long
"""LUNA",NM,DM53mt,87824,"33.81  -108.95"""
"""MCALISTER",NM,DM84er,88427,"34.74  -103.66"""
"""MC ALISTER",NM,DM84er,88427,"34.74  -103.66"""
"""MCINTOSH",NM,DM64xu,87032,"34.85  -106.04"""
"""MAGDALENA",NM,DM64jc,87825,"34.11  -107.23"""
"""ALAMO",NM,DM64jc,87825,"34.11  -107.23"""
"""MALAGA",NM,DM72xf,88263,"32.22  -104.07"""
"""MALJAMAR",NM,DM82cu,88264,"32.85  -103.76"""
"""MAXWELL",NM,DM76rm,87728,"36.54  -104.54"""
"""MAYHILL",NM,DM72gv,88339,"32.88  -105.47"""
"""FLYING H",NM,DM72gv,88339,"32.88  -105.47"""
"""ELK",NM,DM72gv,88339,"32.88  -105.47"""
"""MEDANALES",NM,DM66ve,87548,"36.17  -106.18"""
"""MEDALANES",NM,DM66ve,87548,"36.17  -106.18"""
"""MEDENALES",NM,DM66ve,87548,"36.17  -106.18"""
"""MELROSE",NM,DM84ek,88124,"34.42  -103.62"""
"""MESCALERO",NM,DM73cd,88340,"33.15  -105.79"""
"""MESCALERO APACHE INDIAN RESE",NM,DM73cd,88340,"33.15  -105.79"""
"""MESILLA",NM,DM62og,88046,"32.27  -106.8"""
"""MESILLA PARK",NM,DM62qg,88047,"32.27  -106.61"""
"""MESQUITE",NM,DM62pd,88048,"32.16  -106.69"""
"""VADO",NM,DM62pd,88048,"32.16  -106.69"""
"""VADO",NM,DM62qc,88072,"32.11  -106.66"""
"""MILLS",NM,DM76vb,87730,"36.08  -104.25"""
"""MILNESAND",NM,DM83ip,88125,"33.64  -103.33"""
"""MIMBRES",NM,DM62au,88049,"32.85  -107.97"""
"""MONTEZUMA",NM,DM75ip,87731,"35.65  -105.27"""
"""EL PORVENIR",NM,DM75ip,87731,"35.65  -105.27"""
"""GALLINAS",NM,DM75ip,87731,"35.65  -105.27"""
"""MONTICELLO",NM,DM63gj,87939,"33.39  -107.45"""
"""MONUMENT",NM,DM82io,88265,"32.62  -103.26"""
"""MORA",NM,DM75ix,87732,"35.97  -105.32"""
"""LEDOUX",NM,DM75ix,87732,"35.97  -105.32"""
"""NORTH CARMEN",NM,DM75ix,87732,"35.97  -105.32"""
"""MORIARTY",NM,DM65xa,87035,"35  -106.04"""
"""STANLEY",NM,DM75ad,87056,"35.14  -105.97"""
"""CLINES CORNERS",NM,DM75ea,87070,"35  -105.66"""
"""CLINES CORS",NM,DM75ea,87070,"35  -105.66"""
"""MOSQUERO",NM,DM85as,87733,"35.77  -103.95"""
"""ALBERT",NM,DM85as,87733,"35.77  -103.95"""
"""MOUNTAINAIR",NM,DM64vm,87036,"34.52  -106.24"""
"""MULE CREEK",NM,DM53mc,88051,"33.12  -108.95"""
"""COUNSELOR",NM,DM66md,87018,"36.13  -106.93"""
"""NAGEEZI",NM,DM66md,87018,"36.13  -106.93"""
"""NAGEEZI",NM,DM66dg,87037,"36.26  -107.74"""
"""NARA VISA",NM,DM85ko,88430,"35.6  -103.09"""
"""NAVAJO DAM",NM,DM66et,87419,"36.8  -107.61"""
"""NEWKIRK",NM,DM75ub,88431,"35.06  -104.26"""
"""BELL RANCH",NM,DM75ub,88431,"35.06  -104.26"""
"""NEW LAGUNA",NM,DM65ga,87038,"35.04  -107.42"""
"""ENCINAL",NM,DM65ga,87038,"35.04  -107.42"""
"""NOGAL",NM,DM73dn,88341,"33.55  -105.7"""
"""OCATE",NM,DM76le,87734,"36.17  -105.04"""
"""AURORA",NM,DM76le,87734,"36.17  -105.04"""
"""OJO CALIENTE",NM,DM66xh,87549,"36.3  -106.04"""
"""ORGAN",NM,DM62qk,88052,"32.42  -106.59"""
"""OROGRANDE",NM,DM62xi,88342,"32.37  -106.08"""
"""PAGUATE",NM,DM65hd,87040,"35.13  -107.37"""
"""PECOS",NM,DM75dn,87552,"35.57  -105.67"""
"""EAST PECOS",NM,DM75dn,87552,"35.57  -105.67"""
